Epoch number - 0,loss = 0.06690607634358856, R2_v = -0.041497801126587186, R2_t = -0.0371196620609584, L1_v = 0.21705256402492523, L1_t = 0.21971508860588074
Epoch number - 1,loss = 0.05893016928002963, R2_v = 0.07262338359789, R2_t = 0.08281299020129007, L1_v = 0.19844412803649902, L1_t = 0.2157023215293884
Epoch number - 2,loss = 0.05760973067048337, R2_v = 0.08077130479633288, R2_t = 0.09658588885650177, L1_v = 0.19612786173820496, L1_t = 0.212740089774131775
Epoch number - 3,loss = 0.05713760676456893, R2_v = 0.08099556542370545, R2_t = 0.09537354271097176, L1_v = 0.19726964831352234, L1_t = 0.21057223331928253
Epoch number - 4,loss = 0.05690387839813771, R2_v = 0.08403182852070534, R2_t = 0.0988247243060062, L1_v = 0.19677087664604187, L1_t = 0.209855483531952
Epoch number - 5,loss = 0.05675019953954727, R2_v = 0.08341942069733499, R2_t = 0.0985265901720962, L1_v = 0.19733700156211853, L1_t = 0.20849351048469543
Epoch number - 6,loss = 0.056559609757357, R2_v = 0.07890109044531979, R2_t = 0.09459720843628572, L1_v = 0.19853635132312775, L1_t = 0.20668542456626892
Epoch number - 7,loss = 0.05610316485098611, R2_v = 0.09335611287072332, R2_t = 0.10796178264749601, L1_v = 0.19656790792942047, L1_t = 0.20876885211467743
Epoch number - 8,loss = 0.05562802086270055, R2_v = 0.09445776902223557, R2_t = 0.10921916914243035, L1_v = 0.19644203782081604, L1_t = 0.2126233273744583
Epoch number - 9,loss = 0.05556778210189794, R2_v = 0.09537126860293221, R2_t = 0.1100142414763079, L1_v = 0.19627171754837036, L1_t = 0.20845589792728424
Epoch number - 10,loss = 0.05552445525178929, R2_v = 0.09611697070906067, R2_t = 0.11063714136055092, L1_v = 0.19614720344543457, L1_t = 0.200342187166214
Epoch number - 11,loss = 0.05548897971283067, R2_v = 0.096518537887469, R2_t = 0.11106049101925664, L1_v = 0.1960858553647995, L1_t = 0.20427908074855804
Epoch number - 12,loss = 0.0554543743476181, R2_v = 0.09701809406851358, R2_t = 0.11131590666094537, L1_v = 0.19603344798088074, L1_t = 0.20226252555847168
Epoch number - 13,loss = 0.0554228818658343, R2_v = 0.09731435346809181, R2_t = 0.11153249648038954, L1_v = 0.19602665305137634, L1_t = 0.202260320186615
Epoch number - 14,loss = 0.055391172542998225, R2_v = 0.09800986254101929, R2_t = 0.11211125230299301, L1_v = 0.19588786363601685, L1_t = 0.20012987542152405
Epoch number - 15,loss = 0.05538262628828455, R2_v = 0.10251169930608455, R2_t = 0.1152540270728859, L1_v = 0.19503140449523926, L1_t = 0.20133431732654572
Epoch number - 16,loss = 0.05533559285500582, R2_v = 0.1025921598715464, R2_t = 0.11573102465532659, L1_v = 0.1948506087064743, L1_t = 0.204100652217865
Epoch number - 17,loss = 0.05532976762054766, R2_v = 0.10264643462233629, R2_t = 0.11593150681817044, L1_v = 0.19479601085186005, L1_t = 0.20202598249912262
Epoch number - 18,loss = 0.05532382811082805, R2_v = 0.1026940489863603, R2_t = 0.11603639788351172, L1_v = 0.19478148221969604, L1_t = 0.2000453972816467
Epoch number - 19,loss = 0.05531970894468048, R2_v = 0.10273408585878623, R2_t = 0.11613271073195108, L1_v = 0.19477637112140656, L1_t = 0.19999302113056183
Epoch number - 20,loss = 0.055315933258224585, R2_v = 0.10276682760897031, R2_t = 0.11620946968911061, L1_v = 0.1947716474533081, L1_t = 0.19998419964313507
Epoch number - 21,loss = 0.055312188403075134, R2_v = 0.10280886079156297, R2_t = 0.11627674603260008, L1_v = 0.1947672963142395, L1_t = 0.19997777724266052
Epoch number - 22,loss = 0.05532078294077815, R2_v = 0.10381546173417417, R2_t = 0.11724591128711748, L1_v = 0.19411523640155792, L1_t = 0.19925250792503357
Epoch number - 23,loss = 0.05533454940572245, R2_v = 0.10382566670154043, R2_t = 0.11733823584949166, L1_v = 0.19391842186450958, L1_t = 0.19902586126327515
Epoch number - 24,loss = 0.055334629096079474, R2_v = 0.1038027299870647, R2_t = 0.11734789636782639, L1_v = 0.19383396208286285, L1_t = 0.19892773711681366
Epoch number - 25,loss = 0.05533563794913535, R2_v = 0.10398928153569529, R2_t = 0.11734461845838995, L1_v = 0.1937975436449051, L1_t = 0.19888486647605896
Epoch number - 26,loss = 0.055336137541419736, R2_v = 0.10398634249968273, R2_t = 0.1173410321250058, L1_v = 0.19378335773944855, L1_t = 0.19886823678016663
Epoch number - 27,loss = 0.055336293501151004, R2_v = 0.10398861375094024, R2_t = 0.11733940481558858, L1_v = 0.1937791258096695, L1_t = 0.19886311078071594
Epoch number - 28,loss = 0.05533616379679019, R2_v = 0.10399344594843982, R2_t = 0.1173395997026192, L1_v = 0.1937798112630844, L1_t = 0.19886363232135773
Epoch number - 29,loss = 0.055335990918975744, R2_v = 0.1039992576472397, R2_t = 0.11734072488791913, L1_v = 0.1937820166349411, L1_t = 0.19886603140830994
