Epoch number - 0,loss = 0.06567938969750807, R2_v = -0.02521751571298081, R2_t = -0.014286729258699227, L1_v = 0.21517521142959595, L1_t = 0.2171255648136139
Epoch number - 1,loss = 0.05787688773833102, R2_v = 0.0628125844749351, R2_t = 0.06849051816781937, L1_v = 0.201982781291008, L1_t = 0.20414140820503235
Epoch number - 2,loss = 0.057296283319479245, R2_v = 0.09319560759704504, R2_t = 0.10233917597516262, L1_v = 0.19512544572353363, L1_t = 0.19683565199375153
Epoch number - 3,loss = 0.05697101486795851, R2_v = 0.09514555002175107, R2_t = 0.10501545665530743, L1_v = 0.19498498737812042, L1_t = 0.1966177523136139
Epoch number - 4,loss = 0.05654917334243202, R2_v = 0.0985062070834688, R2_t = 0.10808804749342138, L1_v = 0.19507570564746857, L1_t = 0.19668470323085785
Epoch number - 5,loss = 0.05636191989315, R2_v = 0.09140718875254927, R2_t = 0.10070474778356076, L1_v = 0.19625180959701538, L1_t = 0.19792062044143677
Epoch number - 6,loss = 0.05619531167716377, R2_v = 0.10074761335454441, R2_t = 0.11208584092529728, L1_v = 0.19529643654823303, L1_t = 0.19668737053871155
Epoch number - 7,loss = 0.0556383845651109, R2_v = 0.10563490906052753, R2_t = 0.11557796398675135, L1_v = 0.1951039433479309, L1_t = 0.19654734432697296
Epoch number - 8,loss = 0.05509365120715827, R2_v = 0.10711587468473494, R2_t = 0.11707057156787337, L1_v = 0.1948205828666687, L1_t = 0.19627919793128967
Epoch number - 9,loss = 0.055010744463935446, R2_v = 0.10800741663672753, R2_t = 0.11781601642785289, L1_v = 0.19464631378650665, L1_t = 0.19616417586803436
Epoch number - 10,loss = 0.05495816220368024, R2_v = 0.10895982924887648, R2_t = 0.11880280148491351, L1_v = 0.1944229155778885, L1_t = 0.19596295058727264
Epoch number - 11,loss = 0.0549126027667142, R2_v = 0.10957733546594739, R2_t = 0.11942293691492722, L1_v = 0.19430626928806305, L1_t = 0.1958632916212082
Epoch number - 12,loss = 0.054874039780190016, R2_v = 0.11025985783614434, R2_t = 0.12014026922519605, L1_v = 0.1941503882408142, L1_t = 0.19571244716644287
Epoch number - 13,loss = 0.054837779250947086, R2_v = 0.11077469048585453, R2_t = 0.12077043767212026, L1_v = 0.19403207302093506, L1_t = 0.19558781385421753
Epoch number - 14,loss = 0.054802331481819636, R2_v = 0.1111788995359585, R2_t = 0.12111080245988504, L1_v = 0.19396750628948212, L1_t = 0.19553279876708984
Epoch number - 15,loss = 0.0547801540134118, R2_v = 0.11324524224351784, R2_t = 0.12214741387156969, L1_v = 0.1939014047384262, L1_t = 0.1955721080303192
Epoch number - 16,loss = 0.05473195730586816, R2_v = 0.11346925518141604, R2_t = 0.12280488559616953, L1_v = 0.19363242387771606, L1_t = 0.19526927173137665
Epoch number - 17,loss = 0.05472606062991007, R2_v = 0.11356632102297826, R2_t = 0.12306202117001008, L1_v = 0.19353654980659485, L1_t = 0.19516344368457794
Epoch number - 18,loss = 0.05472189295148098, R2_v = 0.1136402043608028, R2_t = 0.12319764661897514, L1_v = 0.193496972322464, L1_t = 0.19512104988098145
Epoch number - 19,loss = 0.054717358919341784, R2_v = 0.1137012811157726, R2_t = 0.12327950442802627, L1_v = 0.19347676634788513, L1_t = 0.19510117173194885
Epoch number - 20,loss = 0.05471292204481173, R2_v = 0.11374848201796506, R2_t = 0.12333922311528578, L1_v = 0.19346396625041962, L1_t = 0.19508881866931915
Epoch number - 21,loss = 0.0547089144901732, R2_v = 0.11380158342549052, R2_t = 0.12339690260801373, L1_v = 0.19345247745513916, L1_t = 0.19507825374603271
Epoch number - 22,loss = 0.05471754589721017, R2_v = 0.11481899496867354, R2_t = 0.12469530838536691, L1_v = 0.19278888404369354, L1_t = 0.19437366724014282
Epoch number - 23,loss = 0.054750878690801405, R2_v = 0.1149596781862593, R2_t = 0.1249821783395042, L1_v = 0.19247393310070038, L1_t = 0.1940344274044037
Epoch number - 24,loss = 0.05474731698490702, R2_v = 0.11496326480329622, R2_t = 0.12504357466721316, L1_v = 0.1923445612192154, L1_t = 0.1938963681459427
Epoch number - 25,loss = 0.054747234671843725, R2_v = 0.11495572922616626, R2_t = 0.12505659547328085, L1_v = 0.19229237735271454, L1_t = 0.19384178519248962
Epoch number - 26,loss = 0.05474720663733577, R2_v = 0.11495203534363208, R2_t = 0.12505829744738972, L1_v = 0.19227296113967896, L1_t = 0.19382181763648987
Epoch number - 27,loss = 0.05474693196228391, R2_v = 0.11495198224047187, R2_t = 0.12505745499909882, L1_v = 0.19226737320423126, L1_t = 0.19381648302078247
Epoch number - 28,loss = 0.05474657174426281, R2_v = 0.11495344843361832, R2_t = 0.125056224301633, L1_v = 0.19226689636707306, L1_t = 0.19381654262542725
Epoch number - 29,loss = 0.054746211922549186, R2_v = 0.11495538793367144, R2_t = 0.1250555917537255, L1_v = 0.1922675520181656, L1_t = 0.19381776452064514
