Epoch number - 0,loss = 0.0646040803699055, R2_v = -0.005370480736561767, R2_t = 0.0008591722856584605, L1_v = 0.21344107389450073, L1_t = 0.2159481942653656
Epoch number - 1,loss = 0.058099549851100045, R2_v = 0.051341839976877135, R2_t = 0.060947271408841264, L1_v = 0.20463180541992188, L1_t = 0.20630759000778198
Epoch number - 2,loss = 0.05709024431540611, R2_v = 0.08038353453190217, R2_t = 0.09223722854631544, L1_v = 0.1985352486371994, L1_t = 0.20002521574497223
Epoch number - 3,loss = 0.056710945104042176, R2_v = -0.019758833183930014, R2_t = -0.008596810790498788, L1_v = 0.21417921781539917, L1_t = 0.21631261706352234
Epoch number - 4,loss = 0.05628831335838805, R2_v = 0.022733606740373502, R2_t = 0.0353757528999431, L1_v = 0.20815624296665192, L1_t = 0.21006542444229126
Epoch number - 5,loss = 0.05601808732788795, R2_v = 0.020380564285174096, R2_t = 0.03320473564958237, L1_v = 0.2089471071958542, L1_t = 0.2106465846300125
Epoch number - 6,loss = 0.0557779583310012, R2_v = 0.04290192039597773, R2_t = 0.055436582167142645, L1_v = 0.2056618332862854, L1_t = 0.20728330314159393
Epoch number - 7,loss = 0.055345064607989554, R2_v = 0.10726572064884432, R2_t = 0.11880509693162455, L1_v = 0.194646418094635, L1_t = 0.1960361748933792
Epoch number - 8,loss = 0.054696218048344084, R2_v = 0.10925208454600255, R2_t = 0.12081954797163752, L1_v = 0.19438691437244415, L1_t = 0.19586844742298126
Epoch number - 9,loss = 0.054596833393577834, R2_v = 0.11034756689434688, R2_t = 0.12146235106267256, L1_v = 0.19429324567317963, L1_t = 0.19585666060447693
Epoch number - 10,loss = 0.05452941189800307, R2_v = 0.111514061147854, R2_t = 0.1222404466704684, L1_v = 0.19410838186740875, L1_t = 0.1957303136587143
Epoch number - 11,loss = 0.054474599516489135, R2_v = 0.11227173868062379, R2_t = 0.12266682269653184, L1_v = 0.194032222032547, L1_t = 0.19570496678352356
Epoch number - 12,loss = 0.054426580007926856, R2_v = 0.11295719646567537, R2_t = 0.12309681705317999, L1_v = 0.19392098486423492, L1_t = 0.1956203132867813
Epoch number - 13,loss = 0.05438009602807485, R2_v = 0.11339148928283094, R2_t = 0.12332922310793426, L1_v = 0.19389769434928894, L1_t = 0.19562314450740814
Epoch number - 14,loss = 0.05433730178974048, R2_v = 0.11411065171094903, R2_t = 0.12379206175176971, L1_v = 0.1938115954399109, L1_t = 0.19556745886802673
Epoch number - 15,loss = 0.054294444360178655, R2_v = 0.11834838648640211, R2_t = 0.12738874358433772, L1_v = 0.19292251765727997, L1_t = 0.19478917121887207
Epoch number - 16,loss = 0.05423659805950106, R2_v = 0.11865398215142187, R2_t = 0.12814414368940152, L1_v = 0.19273431599140167, L1_t = 0.1945486217737198
Epoch number - 17,loss = 0.054224122928506424, R2_v = 0.11876533367536879, R2_t = 0.12846444454622985, L1_v = 0.19267381727695465, L1_t = 0.19446615874767303
Epoch number - 18,loss = 0.05421635697915652, R2_v = 0.11886402017641695, R2_t = 0.1286680516709553, L1_v = 0.19264160096645355, L1_t = 0.19442318379878998
Epoch number - 19,loss = 0.05420938581454718, R2_v = 0.11893981264208864, R2_t = 0.1288006080747962, L1_v = 0.19262577593326569, L1_t = 0.19440138339996338
Epoch number - 20,loss = 0.05420326372031066, R2_v = 0.1190055084591406, R2_t = 0.12889268615099747, L1_v = 0.19261838495731354, L1_t = 0.1943902224302292
Epoch number - 21,loss = 0.05419767215723415, R2_v = 0.11909486058737362, R2_t = 0.12900502700348004, L1_v = 0.19259895384311676, L1_t = 0.19436711072921753
Epoch number - 22,loss = 0.05420583581529263, R2_v = 0.12035357213875464, R2_t = 0.13052086544053776, L1_v = 0.19189490377902985, L1_t = 0.1936047077178955
Epoch number - 23,loss = 0.05423548584945477, R2_v = 0.1204607352803132, R2_t = 0.13081360372479311, L1_v = 0.19158920645713806, L1_t = 0.1932685226202011
Epoch number - 24,loss = 0.05423076214880249, R2_v = 0.12046230336276709, R2_t = 0.1308848567130677, L1_v = 0.19148649275302887, L1_t = 0.19315534830093384
Epoch number - 25,loss = 0.05422973075009724, R2_v = 0.12046157232566646, R2_t = 0.1309135166956561, L1_v = 0.19144973158836365, L1_t = 0.19311445951461792
Epoch number - 26,loss = 0.054229044758836456, R2_v = 0.12046410641037442, R2_t = 0.13093094069920963, L1_v = 0.19143594801425934, L1_t = 0.19309891760349274
Epoch number - 27,loss = 0.05422842174932632, R2_v = 0.12046914807089526, R2_t = 0.1309443378672993, L1_v = 0.1914297193288803, L1_t = 0.19309177994728088
Epoch number - 28,loss = 0.054227926134270556, R2_v = 0.1204738214979989, R2_t = 0.13095692485696586, L1_v = 0.19142553210258484, L1_t = 0.19308686256408691
Epoch number - 29,loss = 0.054227292700458354, R2_v = 0.12047920559671221, R2_t = 0.1309684242100626, L1_v = 0.19142268598079681, L1_t = 0.19308345019817352
