Epoch number - 0,loss = 0.06547720770218543, R2_v = 0.05137474757114513, R2_t = 0.06771218704750148, L1_v = 0.20119811594486237, L1_t = 0.2018478810787201
Epoch number - 1,loss = 0.05742754489834503, R2_v = 0.08087361579288177, R2_t = 0.1011871283976884, L1_v = 0.1983325183391571, L1_t = 0.19860967993736267
Epoch number - 2,loss = 0.05643356917001375, R2_v = 0.0702149787043369, R2_t = 0.0893805819998944, L1_v = 0.20050658285617828, L1_t = 0.20118995010852814
Epoch number - 3,loss = 0.055816380367939865, R2_v = 0.08529059743532252, R2_t = 0.10624824546332312, L1_v = 0.1975090056657791, L1_t = 0.19793958961963654
Epoch number - 4,loss = 0.05537014166289504, R2_v = 0.07068170839172472, R2_t = 0.08980011149384393, L1_v = 0.20096848905086517, L1_t = 0.20160731673240662
Epoch number - 5,loss = 0.055113989864065564, R2_v = 0.09818690835468802, R2_t = 0.11592582243740968, L1_v = 0.196182519197464, L1_t = 0.19678440690040588
Epoch number - 6,loss = 0.05481929879629911, R2_v = 0.06837730081745452, R2_t = 0.11329352983461391, L1_v = 0.2014569342136383, L1_t = 0.202552929520607
Epoch number - 7,loss = 0.054285919807545595, R2_v = 0.12253843870045322, R2_t = 0.14039857988396942, L1_v = 0.1924496293067932, L1_t = 0.19310583174228668
Epoch number - 8,loss = 0.0535373557203288, R2_v = 0.12521454579758795, R2_t = 0.14251515609936283, L1_v = 0.19209133088588715, L1_t = 0.19285598397254944
Epoch number - 9,loss = 0.053450712394875144, R2_v = 0.1261451892705665, R2_t = 0.14329933865725064, L1_v = 0.19200016558170319, L1_t = 0.19279807806015015
Epoch number - 10,loss = 0.05339160291223269, R2_v = 0.12679078293376012, R2_t = 0.14396221828290956, L1_v = 0.19194215536117554, L1_t = 0.1927291303873062
Epoch number - 11,loss = 0.053339169437128, R2_v = 0.12720920689962656, R2_t = 0.14454870747956994, L1_v = 0.19189387559890747, L1_t = 0.19265365600585938
Epoch number - 12,loss = 0.05329295350550065, R2_v = 0.12762131581829328, R2_t = 0.14508610733521987, L1_v = 0.19183842837810516, L1_t = 0.1925731897354126
Epoch number - 13,loss = 0.053252445846671485, R2_v = 0.12793307902962225, R2_t = 0.14553285737594823, L1_v = 0.19179242849349976, L1_t = 0.19250938296318054
Epoch number - 14,loss = 0.0532123079696121, R2_v = 0.12817826049157688, R2_t = 0.14589479629200796, L1_v = 0.19175642728805542, L1_t = 0.19245287775993347
Epoch number - 15,loss = 0.05314647892665537, R2_v = 0.13069514091980539, R2_t = 0.14865636071209398, L1_v = 0.19127468764781952, L1_t = 0.19194021821022034
Epoch number - 16,loss = 0.05309044570155374, R2_v = 0.13103125559727868, R2_t = 0.14934744686165235, L1_v = 0.1910950094461441, L1_t = 0.1917029321193695
Epoch number - 17,loss = 0.05307617562180413, R2_v = 0.13113637803057032, R2_t = 0.1497162082061122, L1_v = 0.1910170167684555, L1_t = 0.1915857046842575
Epoch number - 18,loss = 0.05306784151614528, R2_v = 0.131165314084436, R2_t = 0.1499473482510818, L1_v = 0.19098174571990967, L1_t = 0.19152100384235382
Epoch number - 19,loss = 0.053061423756714375, R2_v = 0.13118787527604947, R2_t = 0.15011923745695554, L1_v = 0.19095957279205322, L1_t = 0.19147616624832153
Epoch number - 20,loss = 0.053055729006493524, R2_v = 0.13121585485790288, R2_t = 0.1502694445688173, L1_v = 0.19094139337539673, L1_t = 0.19143906235694885
Epoch number - 21,loss = 0.05305036353966431, R2_v = 0.13125211815404003, R2_t = 0.15040486550295073, L1_v = 0.19092540442943573, L1_t = 0.191407710313797
Epoch number - 22,loss = 0.0530596134255677, R2_v = 0.13244910204739668, R2_t = 0.15174925820120288, L1_v = 0.19023559987545013, L1_t = 0.19067826867103577
Epoch number - 23,loss = 0.05309132838163151, R2_v = 0.13264480057141936, R2_t = 0.15198028996447976, L1_v = 0.18994158506393433, L1_t = 0.19036699831485748
Epoch number - 24,loss = 0.053086313186921065, R2_v = 0.13268145974025114, R2_t = 0.15203573823184846, L1_v = 0.1898338794708252, L1_t = 0.19025158882141113
Epoch number - 25,loss = 0.053085067016454726, R2_v = 0.1326919240397757, R2_t = 0.1520582594920029, L1_v = 0.18979230523109436, L1_t = 0.19020651280879974
Epoch number - 26,loss = 0.05308430599852672, R2_v = 0.13269722816518004, R2_t = 0.15207289237153698, L1_v = 0.18977521359920502, L1_t = 0.19018752872943878
Epoch number - 27,loss = 0.05308360146856824, R2_v = 0.13270107630791994, R2_t = 0.15208479109310158, L1_v = 0.1897677183151245, L1_t = 0.19017881155014038
Epoch number - 28,loss = 0.05308290427312889, R2_v = 0.13270431644303637, R2_t = 0.15209557079389202, L1_v = 0.18976403772830963, L1_t = 0.19017411768436432
Epoch number - 29,loss = 0.05308223894505697, R2_v = 0.13270736083602774, R2_t = 0.1521051973482347, L1_v = 0.18976178765296936, L1_t = 0.19017106294631958
